-----------------------------------------------------------------------------------------------------------------------------------------------------
Name                              MW       Cp@298K        H@298K        G@298K        S@298K      Cp@1000K       H@1000K       G@1000K       S@1000K 
     1600.0000     17.2312       -8.0860       -125.4560     73.3563       18.0032       -83.7885      
     1800.0000     17.7414       -4.5867       -140.3363     75.4165       21.5025       -98.6689      
     2000.0000     18.1398       -0.9969       -155.6113     77.3072       25.0924       -113.9438     
     2200.0000     18.4454       2.6630        -171.2495     79.0511       28.7523       -129.5820     
     2400.0000     18.6755       6.3762        -187.2232     80.6664       32.4655       -145.5557     
     2600.0000     18.8455       10.1292       -203.5085     82.1683       36.2185       -161.8410     
 -----------------------------------------------------------------------------------------------------


 ====================================================================================================
   THERMO TABLE FOR MOLECULE HCO
 ====================================================================================================
   Elemental Composition:
     C 1.0000
     H 1.0000
     O 1.0000
   Formation Enthalpy at 298K =          9.9889 kcal/mol
   Formation Free Gibbs Energy at 298K = -5.9837 kcal/mol
   Molecular Weight =                    29.0180 kg/kmol
 -----------------------------------------------------------------------------------------------------
   Temperature       Cp             H             G            S             DH            DG         
       [K]       [cal/mol/K]    [kcal/mol]    [kcal/mol]  [cal/(mol-K)]  [kcal/mol]     [kcal/mol]    
 -----------------------------------------------------------------------------------------------------
     300.0000      8.2766        10.0054       -6.0910       53.6546       0.0165        -0.1073       
     600.0000      9.8372        12.7140       -23.1961      59.8502       2.7251        -17.2124      
     800.0000      10.8498       14.7856       -35.4728      62.8230       4.7967        -29.4891      
     1000.0000     11.6621       17.0401       -48.2949      65.3351       7.0512        -42.3112      
     1200.0000     12.2205       19.4294       -61.5845      67.5116       9.4406        -55.6008      
     1400.0000     12.7189       21.9243       -75.2827      69.4336       11.9354       -69.2990      
     1600.0000     13.1646       24.5135       -89.3451      71.1616       14.5246       -83.3614      
     1800.0000     13.5644       27.1871       -103.7371     72.7357       17.1982       -97.7534      
     2000.0000     13.9242       29.9366       -118.4310     74.1838       19.9477       -112.4473     
     2200.0000     14.2494       32.7545       -133.4036     75.5264       22.7656       -127.4199     
     2400.0000     14.5445       35.6343       -148.6355     76.7791       25.6454       -142.6518     
     2600.0000     14.8136       38.5705       -164.1101     77.9541       28.5817       -158.1264     
 -----------------------------------------------------------------------------------------------------


 ====================================================================================================
   THERMO TABLE FOR MOLECULE HO2CHO
 ====================================================================================================
   Elemental Composition:
     C 1.0000
     H 2.0000
     O 3.0000
   Formation Enthalpy at 298K =          -67.4023 kcal/mol
   Formation Free Gibbs Energy at 298K = -89.4103 kcal/mol
   Molecular Weight =                    62.0240 kg/kmol
 -----------------------------------------------------------------------------------------------------
   Temperature       Cp             H             G            S             DH            DG         
       [K]       [cal/mol/K]    [kcal/mol]    [kcal/mol]  [cal/(mol-K)]  [kcal/mol]     [kcal/mol]    
 -----------------------------------------------------------------------------------------------------
     300.0000      15.2185       -67.3719      -89.5581      73.9540       0.0304        -0.1478       
     600.0000      21.3936       -61.7946      -113.7503     86.5928       5.6077        -24.3400      
     800.0000      23.9110       -57.2471      -131.7404     93.1166       10.1551       -42.3301      
     1000.0000     25.5711       -52.2872      -150.9308     98.6436       15.1151       -61.5205      
     1200.0000     26.6576       -47.0568      -171.1472     103.4087      20.3455       -81.7369      
     1400.0000     27.3777       -41.6481      -192.2545     107.5760      25.7542       -102.8442     
     1600.0000     27.8662       -36.1219      -214.1457     111.2649      31.2804       -124.7354     
     1800.0000     28.2547       -30.5082      -236.7349     114.5704      36.8940       -147.3247     
     2000.0000     28.5586       -24.8256      -259.9531     117.5637      42.5767       -170.5428     
     2200.0000     28.7919       -19.0895      -283.7431     120.2971      48.3128       -194.3329     
     2400.0000     28.9674       -13.3127      -308.0573     122.8102      54.0896       -218.6470     
     2600.0000     29.0967       -7.5056       -332.8546     125.1342      59.8967       -243.4444     
 -----------------------------------------------------------------------------------------------------


 ====================================================================================================
   THERMO TABLE FOR MOLECULE HOCHO
 ====================================================================================================
   Elemental Composition:
     H 2.0000
     C 1.0000
     O 2.0000
   Formation Enthalpy at 298K =          -90.4721 kcal/mol
   Formation Free Gibbs Energy at 298K = -108.0715 kcal/mol
   Molecular Weight =                    46.0250 kg/kmol
 -----------------------------------------------------------------------------------------------------
   Temperature       Cp             H             G            S             DH            DG         
       [K]       [cal/mol/K]    [kcal/mol]    [kcal/mol]  [cal/(mol-K)]  [kcal/mol]     [kcal/mol]    
 -----------------------------------------------------------------------------------------------------
     300.0000      9.8996        -90.4523      -108.1897     59.1246       0.0198        -0.1182       
     600.0000      14.4973       -86.7710      -127.2374     67.4440       3.7010        -19.1659      
     800.0000      16.5729       -83.6480      -141.1855     71.9219       6.8241        -33.1140      
     1000.0000     18.1173       -80.1802      -155.9649     75.7847       10.2919       -47.8934      
     1200.0000     19.1620       -76.4490      -171.4688     79.1832       14.0231       -63.3973      
     1400.0000     20.0225       -72.5277      -187.6130     82.2038       17.9444       -79.5415      
     1600.0000     20.7230       -68.4506      -204.3304     84.9249       22.0214       -96.2589      
     1800.0000     21.2859       -64.2476      -221.5666     87.3994       26.2244       -113.4951     
     2000.0000     21.7320       -59.9441      -239.2763     89.6661       30.5280       -131.2048     
     2200.0000     22.0807       -55.5613      -257.4212     91.7545       34.9107       -149.3497     
     2400.0000     22.3492       -51.1171      -275.9678     93.6878       39.3549       -167.8963     
     2600.0000     22.5535       -46.6259      -294.8872     95.4851       43.8461       -186.8157     
 -----------------------------------------------------------------------------------------------------


 ====================================================================================================
   THERMO TABLE FOR MOLECULE OCHO
 ====================================================================================================
   Elemental Composition:
     C 1.0000
     O 2.0000
     H 1.0000
   Formation Enthalpy at 298K =          -30.9972 kcal/mol
   Formation Free Gibbs Energy at 298K = -49.1515 kcal/mol
   Molecular Weight =                    45.0170 kg/kmol
 -----------------------------------------------------------------------------------------------------
   Temperature       Cp             H             G            S             DH            DG         
       [K]       [cal/mol/K]    [kcal/mol]    [kcal/mol]  [cal/(mol-K)]  [kcal/mol]     [kcal/mol]    
 -----------------------------------------------------------------------------------------------------
     300.0000      10.0458       -30.9771      -49.2734      60.9877       0.0201        -0.1219       
     600.0000      13.0945       -27.5067      -68.8365      68.8829       3.4905        -19.6850      
     800.0000      14.7149       -24.7167      -83.0246      72.8849       6.2804        -33.8731      
     1000.0000     15.9775       -21.6464      -97.9517      76.3054       9.3508        -48.8002      
     1200.0000     16.8729       -18.3585      -113.5187     79.3002       12.6387       -64.3671      
     1400.0000     17.6060       -14.9080      -129.6494     81.9581       16.0891       -80.4979      
     1600.0000     18.1979       -11.3255      -146.2842     84.3492       19.6717       -97.1326      
     1800.0000     18.6679       -7.6370       -163.3745     86.5208       23.3602       -114.2230     
     2000.0000     19.0343       -3.8652       -180.8802     88.5075       27.1320       -131.7287     
     2200.0000     19.3137       -0.0291       -198.7669     90.3354       30.9681       -149.6154     
     2400.0000     19.5214       3.8555        -217.0052     92.0253       34.8527       -167.8536     
     2600.0000     19.6714       7.7756        -235.5690     93.5941       38.7728       -186.4175     
 -----------------------------------------------------------------------------------------------------


 ====================================================================================================
   THERMO TABLE FOR MOLECULE C2H6
 ====================================================================================================
   Elemental Composition:
     C 2.0000
     H 6.0000
   Formation Enthalpy at 298K =          -20.0407 kcal/mol
   Formation Free Gibbs Energy at 298K = -36.3630 kcal/mol
   Molecular Weight =                    30.0700 kg/kmol
 -----------------------------------------------------------------------------------------------------
   Temperature       Cp             H             G            S             DH            DG         
       [K]       [cal/mol/K]    [kcal/mol]    [kcal/mol]  [cal/(mol-K)]  [kcal/mol]     [kcal/mol]    
 -----------------------------------------------------------------------------------------------------
     300.0000      12.5989       -20.0156      -36.4727      54.8570       0.0251        -0.1096       
     600.0000      21.3594       -14.9010      -54.6934      66.3207       5.1397        -18.3304      
     800.0000      25.8035       -10.1595      -68.6477      73.1102       9.8812        -32.2846      
     1000.0000     29.3195       -4.6460       -83.8933      79.2473       15.3947       -47.5303      
     1200.0000     31.7967       1.4734        -100.3093     84.8189       21.5141       -63.9463      
     1400.0000     33.8344       8.0433        -117.7869     89.8787       28.0841       -81.4238      
     1600.0000     35.4906       14.9817       -136.2322     94.5087       35.0225       -99.8692      
     1800.0000     36.8188       22.2177       -155.5657     98.7686       42.2584       -119.2027     
     2000.0000     37.8690       29.6907       -175.7181     102.7044      49.7314       -139.3550     
     2200.0000     38.6870       37.3499       -196.6284     106.3537      57.3906       -160.2653     
     2400.0000     39.3144       45.1528       -218.2426     109.7481      65.1935       -181.8795     
     2600.0000     39.7893       53.0655       -240.5124     112.9146      73.1062       -204.1494     
 -----------------------------------------------------------------------------------------------------


 ====================================================================================================
   THERMO TABLE FOR MOLECULE C2H5
 ====================================================================================================
   Elemental Composition:
     C 2.0000
     H 5.0000
   Formation Enthalpy at 298K =          28.6041 kcal/mol
   Formation Free Gibbs Energy at 298K = 11.3016 kcal/mol
   Molecular Weight =                    29.0620 kg/kmol
 -----------------------------------------------------------------------------------------------------
   Temperature       Cp             H             G            S             DH            DG         
       [K]       [cal/mol/K]    [kcal/mol]    [kcal/mol]  [cal/(mol-K)]  [kcal/mol]     [kcal/mol]    
 -----------------------------------------------------------------------------------------------------
     300.0000      12.1554       28.6283       11.1854       58.1433       0.0243        -0.1162       
     600.0000      19.3896       33.3844       -7.9196       68.8400       4.7803        -19.2212      
     800.0000      22.9573       37.6403       -22.3095      74.9372       9.0362        -33.6110      
     1000.0000     25.7910       42.5145       -37.8493      80.3638       13.9105       -49.1509      
     1200.0000     27.8004       47.8800       -54.4194      85.2495       19.2759       -65.7209      
     1400.0000     29.4557       53.6111       -71.9178      89.6635       25.0070       -83.2193      
     1600.0000     30.8033       59.6417       -90.2588      93.6879       31.0377       -101.5604     
     1800.0000     31.8863       65.9148       -109.3708     97.3809       37.3107       -120.6724     
     2000.0000     32.7447       72.3813       -129.1921     100.7867      43.7772       -140.4936     
     2200.0000     33.4154       79.0001       -149.6687     103.9404      50.3961       -160.9703     
     2400.0000     33.9317       85.7372       -170.7534     106.8710      57.1331       -182.0549     
     2600.0000     34.3242       92.5646       -192.4039     109.6033      63.9605       -203.7055     
 -----------------------------------------------------------------------------------------------------


 ====================================================================================================
   THERMO TABLE FOR MOLECULE C2H5O2H
 ====================================================================================================
   Elemental Composition:
     C 2.0000
     H 6.0000
     O 2.0000
   Formation Enthalpy at 298K =          -38.7367 kcal/mol
   Formation Free Gibbs Energy at 298K = -61.2195 kcal/mol
   Molecular Weight =                    62.0680 kg/kmol
 -----------------------------------------------------------------------------------------------------
   Temperature       Cp             H             G            S             DH            DG         
       [K]       [cal/mol/K]    [kcal/mol]    [kcal/mol]  [cal/(mol-K)]  [kcal/mol]     [kcal/mol]    
 -----------------------------------------------------------------------------------------------------
     300.0000      19.3799       -38.6980      -61.3705      75.5749       0.0387        -0.1510       
     600.0000      31.2088       -30.9984      -86.7306      92.8870       7.7383        -25.5111      
     800.0000      36.0828       -24.2297      -106.3014     102.5896      14.5070       -45.0819      
     1000.0000     39.6334       -16.6588      -127.6809     111.0221      22.0779       -66.4614      
     1200.0000     42.0254       -8.4853       -150.6451     118.4665      30.2514       -89.4256      
     1400.0000     43.9906       0.1229        -175.0135     125.0974      38.8596       -113.7940     
     1600.0000     45.5849       9.0862        -200.6409     131.0795      47.8229       -139.4215     
     1800.0000     46.8604       18.3356       -227.4096     136.5251      57.0723       -166.1901     
     2000.0000     47.8651       27.8123       -255.2207     141.5165      66.5490       -194.0013     
     2200.0000     48.6435       37.4666       -283.9901     146.1167      76.2033       -222.7706     
     2400.0000     49.2359       47.2573       -313.6447     150.3758      85.9940       -252.4252     
     2600.0000     49.6791       57.1510       -344.1205     154.3352      95.8877       -282.9010     
 -----------------------------------------------------------------------------------------------------


 ====================================================================================================
   THERMO TABLE FOR MOLECULE C2H5O2
 ====================================================================================================
   Elemental Composition:
     C 2.0000
     H 5.0000
     O 2.0000
   Formation Enthalpy at 298K =          -6.8620 kcal/mol
   Formation Free Gibbs Energy at 298K = -28.8647 kcal/mol
   Molecular Weight =                    61.0600 kg/kmol
 -----------------------------------------------------------------------------------------------------
   Temperature       Cp             H             G            S             DH            DG         
       [K]       [cal/mol/K]    [kcal/mol]    [kcal/mol]  [cal/(mol-K)]  [kcal/mol]     [kcal/mol]    
 -----------------------------------------------------------------------------------------------------
     300.0000      18.2721       -6.8255       -29.0125      73.9567       0.0365        -0.1478       
     600.0000      28.7503       0.3204        -53.7060      90.0439       7.1824        -24.8412      
     800.0000      33.1363       6.5438        -72.6286      98.9655       13.4058       -43.7639      
     1000.0000     36.3737       13.4935       -93.2127      106.7062      20.3554       -64.3480      
     1200.0000     38.5232       20.9901       -115.2510     113.5343      27.8521       -86.3862      
     1400.0000     40.2800       28.8766       -138.5764     119.6093      35.7385       -109.7117     
     1600.0000     41.6963       37.0794       -163.0548     125.0839      43.9414       -134.1900     
     1800.0000     42.8206       45.5356       -188.5770     130.0625      52.3976       -159.7122     
     2000.0000     43.6977       54.1912       -215.0518     134.6215      61.0532       -186.1871     
     2200.0000     44.3689       63.0010       -242.4015     138.8193      69.8629       -213.5368     
     2400.0000     44.8717       71.9275       -270.5586     142.7026      78.7895       -241.6939     
     2600.0000     45.2404       80.9407       -299.4641     146.3096      87.8027       -270.5994     
 -----------------------------------------------------------------------------------------------------


 ====================================================================================================
   THERMO TABLE FOR MOLECULE C2H4
 ====================================================================================================
   Elemental Composition:
     C 2.0000
     H 4.0000
   Formation Enthalpy at 298K =          12.5449 kcal/mol
   Formation Free Gibbs Energy at 298K = -3.0728 kcal/mol
   Molecular Weight =                    28.0540 kg/kmol
 -----------------------------------------------------------------------------------------------------
   Temperature       Cp             H             G            S             DH            DG         
       [K]       [cal/mol/K]    [kcal/mol]    [kcal/mol]  [cal/(mol-K)]  [kcal/mol]     [kcal/mol]    
 -----------------------------------------------------------------------------------------------------
     300.0000      10.2892       12.5654       -3.1777       52.4772       0.0205        -0.1049       
     600.0000      16.9529       16.6763       -20.3469      61.7053       4.1314        -17.2741      
     800.0000      20.0514       20.3992       -33.2320      67.0390       7.8543        -30.1592      
     1000.0000     22.4874       24.6481       -47.1216      71.7697       12.1032       -44.0488      
     1200.0000     24.1883       29.3210       -61.9088      76.0249       16.7761       -58.8360      
     1400.0000     25.5899       34.3035       -77.5038      79.8623       21.7586       -74.4310      
     1600.0000     26.7312       39.5396       -93.8309      83.3566       26.9947       -90.7581      
     1800.0000     27.6487       44.9811       -110.8271     86.5601       32.4362       -107.7542     
     2000.0000     28.3763       50.5865       -128.4382     89.5123       38.0416       -125.3654     
     2200.0000     28.9450       56.3210       -146.6173     92.2447       43.7761       -143.5445     
     2400.0000     29.3832       62.1558       -165.3231     94.7829       49.6109       -162.2503     
     2600.0000     29.7165       68.0673       -184.5190     97.1486       55.5224       -181.4462     
 -----------------------------------------------------------------------------------------------------


 ====================================================================================================
   THERMO TABLE FOR MOLECULE C2H3
 ====================================================================================================
   Elemental Composition:
     C 2.0000
     H 3.0000
   Formation Enthalpy at 298K =          70.8751 kcal/mol
   Formation Free Gibbs Energy at 298K = 54.2361 kcal/mol
   Molecular Weight =                    27.0460 kg/kmol
 -----------------------------------------------------------------------------------------------------
   Temperature       Cp             H             G            S             DH            DG         
       [K]       [cal/mol/K]    [kcal/mol]    [kcal/mol]  [cal/(mol-K)]  [kcal/mol]     [kcal/mol]    
 -----------------------------------------------------------------------------------------------------
     300.0000      10.0856       70.8953       54.1244       55.9030       0.0201        -0.1117       
     600.0000      14.8979       74.6747       36.0102       64.4408       3.7995        -18.2259      
     800.0000      17.0570       77.8850       22.6500       69.0438       7.0099        -31.5861      
     1000.0000     18.7810       81.4659       8.4339        73.0320       10.5908       -45.8022      
     1200.0000     20.0275       85.3505       -6.5332       76.5698       14.4754       -60.7693      
     1400.0000     21.0601       89.4626       -22.1694      79.7372       18.5875       -76.4055      
     1600.0000     21.9064       93.7622       -38.4083      82.6065       22.8871       -92.6444      
     1800.0000     22.5919       98.2145       -55.1955      85.2278       27.3394       -109.4316     
     2000.0000     23.1404       102.7898      -72.4853      87.6376       31.9147       -126.7214     
     2200.0000     23.5739       107.4630      -90.2384      89.8642       36.5879       -144.4745     
     2400.0000     23.9122       112.2130      -108.4204     91.9306       41.3379       -162.6564     
     2600.0000     24.1736       117.0227      -127.0012     93.8553       46.1476       -181.2373     
 -----------------------------------------------------------------------------------------------------


 ====================================================================================================
   THERMO TABLE FOR MOLECULE C2H2
 ====================================================================================================
   Elemental Composition:
     C 2.0000
     H 2.0000
   Formation Enthalpy at 298K =          54.5336 kcal/mol
   Formation Free Gibbs Energy at 298K = 40.2267 kcal/mol
   Molecular Weight =                    26.0380 kg/kmol
 -----------------------------------------------------------------------------------------------------
   Temperature       Cp             H             G            S             DH            DG         
       [K]       [cal/mol/K]    [kcal/mol]    [kcal/mol]  [cal/(mol-K)]  [kcal/mol]     [kcal/mol]    
 -----------------------------------------------------------------------------------------------------
     300.0000      10.5473       54.5547       40.1306       48.0801       0.0211        -0.0961       
     600.0000      13.8872       58.2937       24.3419       56.5863       3.7600        -15.8849      
     800.0000      15.1585       61.2029       12.5931       60.7623       6.6693        -27.6337      
     1000.0000     16.2290       64.3451       0.0815        64.2636       9.8115        -40.1453      
     1200.0000     17.0915       67.6795       -13.0816      67.3009       13.1459       -53.3083      
     1400.0000     17.8205       71.1728       -26.8159      69.9919       16.6392       -67.0426      
     1600.0000     18.4328       74.7999       -41.0604      72.4127       20.2663       -81.2871      
     1800.0000     18.9439       78.5392       -55.7664      74.6142       24.0056       -95.9931      
     2000.0000     19.3685       82.3717       -70.8939      76.6328       27.8381       -111.1207     
     2200.0000     19.7200       86.2817       -86.4092      78.4958       31.7481       -126.6359     
     2400.0000     20.0108       90.2557       -102.2833     80.2246       35.7221       -142.5100     
     2600.0000     20.2525       94.2827       -118.4912     81.8361       39.7491       -158.7179     
 -----------------------------------------------------------------------------------------------------


 ====================================================================================================
   THERMO TABLE FOR MOLECULE C2H
 ====================================================================================================
   Elemental Composition:
     C 2.0000
     H 1.0000
   Formation Enthalpy at 298K =          135.7524 kcal/mol
   Formation Free Gibbs Energy at 298K = 120.5642 kcal/mol
   Molecular Weight =                    25.0300 kg/kmol
 -----------------------------------------------------------------------------------------------------
   Temperature       Cp             H             G            S             DH            DG         
       [K]       [cal/mol/K]    [kcal/mol]    [kcal/mol]  [cal/(mol-K)]  [kcal/mol]     [kcal/mol]    
 -----------------------------------------------------------------------------------------------------
     300.0000      10.0468       135.7725      120.4622      51.0341       0.0201        -0.1020       
     600.0000      11.1892       138.9789      103.9399      58.3983       3.2265        -16.6244      
     800.0000      11.9004       141.2852      91.9165       61.7109       5.5328        -28.6478      
     1000.0000     12.5627       143.7376      79.2933       64.4443       7.9852        -41.2709      
     1200.0000     13.1706       146.3129      66.1646       66.7903       10.5605       -54.3996      
     1400.0000     13.6666       148.9984      52.5956       68.8591       13.2460       -67.9686      
     1600.0000     14.0647       151.7730      38.6354       70.7110       16.0206       -81.9289      
     1800.0000     14.3783       154.6186      24.3230       72.3865       18.8662       -96.2413      
     2000.0000     14.6198       157.5195      9.6906        73.9145       21.7671       -110.8736     
     2200.0000     14.8007       160.4625      -5.2344       75.3168       24.7101       -125.7987     
     2400.0000     14.9313       163.4365      -20.4289      76.6106       27.6840       -140.9931     
     2600.0000     15.0212       166.4323      -35.8724      77.8095       30.6799       -156.4366     
 -----------------------------------------------------------------------------------------------------


 ====================================================================================================
   THERMO TABLE FOR MOLECULE C2H5OH
 ====================================================================================================
   Elemental Composition:
     C 2.0000
     H 6.0000
     O 1.0000
   Formation Enthalpy at 298K =          -56.1506 kcal/mol
   Formation Free Gibbs Energy at 298K = -76.1310 kcal/mol
   Molecular Weight =                    46.0690 kg/kmol
 -----------------------------------------------------------------------------------------------------
   Temperature       Cp             H             G            S             DH            DG         
       [K]       [cal/mol/K]    [kcal/mol]    [kcal/mol]  [cal/(mol-K)]  [kcal/mol]     [kcal/mol]    
 -----------------------------------------------------------------------------------------------------
     300.0000      15.6731       -56.1194      -76.2652      67.1528       0.0313        -0.1342       
     600.0000      25.9561       -49.8173      -98.5959      81.2977       6.3333        -22.4649      
     800.0000      30.5916       -44.1286      -115.6873     89.4484       12.0220       -39.5563      
     1000.0000     34.1524       -37.6583      -134.3112     96.6530       18.4924       -58.1802      
     1200.0000     36.6204       -30.5733      -154.2991     103.1049      25.5774       -78.1681      
     1400.0000     38.6542       -23.0391      -175.5101     108.9079      33.1116       -99.3791      
     1600.0000     40.3108       -15.1367      -197.8270     114.1815      41.0139       -121.6960     
     1800.0000     41.6429       -6.9364       -221.1530     119.0092      49.2143       -145.0220     
     2000.0000     42.6997       1.5021        -245.4052     123.4537      57.6527       -169.2742     
     2200.0000     43.5261       10.1282       -270.5122     127.5638      66.2788       -194.3812     
     2400.0000     44.1632       18.8999       -296.4111     131.3796      75.0506       -220.2801     
     2600.0000     44.6484       27.7833       -323.0466     134.9346      83.9340       -246.9156     
 -----------------------------------------------------------------------------------------------------


 ====================================================================================================
   THERMO TABLE FOR MOLECULE C2H5O
 ====================================================================================================
   Elemental Composition:
     C 2.0000
     H 5.0000
     O 1.0000
   Formation Enthalpy at 298K =          -3.3123 kcal/mol
   Formation Free Gibbs Energy at 298K = -22.8707 kcal/mol
   Molecular Weight =                    45.0610 kg/kmol
 -----------------------------------------------------------------------------------------------------
   Temperature       Cp             H             G            S             DH            DG         
       [K]       [cal/mol/K]    [kcal/mol]    [kcal/mol]  [cal/(mol-K)]  [kcal/mol]     [kcal/mol]    
 -----------------------------------------------------------------------------------------------------
     300.0000      15.6880       -3.2810       -23.0021      65.7369       0.0313        -0.1314       
     600.0000      23.8114       2.6958        -44.8371      79.2215       6.0082        -21.9664      
     800.0000      28.0182       7.8954        -61.4419      86.6716       11.2077       -38.5712      
     1000.0000     31.2494       13.8378       -79.4504      93.2883       17.1502       -56.5797      
     1200.0000     33.6050       20.3365       -98.7107      99.2060       23.6489       -75.8400      
     1400.0000     35.2809       27.2343       -119.0925     104.5192      30.5467       -96.2218      
     1600.0000     36.5683       34.4233       -140.4840     109.3170      37.7356       -117.6133     
     1800.0000     37.6233       41.8461       -162.7909     113.6872      45.1584       -139.9202     
     2000.0000     38.4759       49.4591       -185.9349     117.6970      52.7715       -163.0642     
     2200.0000     39.1571       57.2250       -209.8491     121.3973      60.5374       -186.9784     
     2400.0000     39.6954       65.1124       -234.4759     124.8285      68.4248       -211.6052     
     2600.0000     40.1166       73.0954       -259.7647     128.0231      76.4077       -236.8940     
 -----------------------------------------------------------------------------------------------------


 ====================================================================================================
   THERMO TABLE FOR MOLECULE PC2H4OH
 ====================================================================================================
   Elemental Composition:
     C 2.0000
     H 5.0000
     O 1.0000
   Formation Enthalpy at 298K =          -6.1729 kcal/mol
   Formation Free Gibbs Energy at 298K = -27.3664 kcal/mol
   Molecular Weight =                    45.0610 kg/kmol
 -----------------------------------------------------------------------------------------------------
   Temperature       Cp             H             G            S             DH            DG         
       [K]       [cal/mol/K]    [kcal/mol]    [kcal/mol]  [cal/(mol-K)]  [kcal/mol]     [kcal/mol]    
 -----------------------------------------------------------------------------------------------------
     300.0000      16.3918       -6.1402       -27.5088      71.2286       0.0327        -0.1423       
     600.0000      24.3740       0.0428        -51.0729      85.1928       6.2157        -23.7065      
     800.0000      27.9244       5.2954        -68.8836      92.7238       11.4683       -41.5172      
     1000.0000     30.6892       11.1574       -88.0954      99.2527       17.3303       -60.7289      
     1200.0000     32.6621       17.4986       -108.5350     105.0279      23.6715       -81.1685      
     1400.0000     34.2933       24.1994       -130.0658     110.1894      30.3723       -102.6993     
     1600.0000     35.6269       31.1960       -152.5780     114.8588      37.3690       -125.2116     
     1800.0000     36.7043       38.4331       -175.9821     119.1196      44.6060       -148.6157     
     2000.0000     37.5636       45.8632       -200.2027     123.0330      52.0361       -172.8363     
     2200.0000     38.2400       53.4464       -225.1753     126.6462      59.6193       -197.8089     
     2400.0000     38.7656       61.1492       -250.8437     129.9970      67.3221       -223.4773     
     2600.0000     39.1696       68.9445       -277.1587     133.1166      75.1174       -249.7923     
 -----------------------------------------------------------------------------------------------------


 ====================================================================================================
   THERMO TABLE FOR MOLECULE SC2H4OH
 ====================================================================================================
   Elemental Composition:
     C 2.0000
     H 5.0000
     O 1.0000
   Formation Enthalpy at 298K =          -13.2148 kcal/mol
   Formation Free Gibbs Energy at 298K = -33.7932 kcal/mol
   Molecular Weight =                    45.0610 kg/kmol
 -----------------------------------------------------------------------------------------------------
   Temperature       Cp             H             G            S             DH            DG         
       [K]       [cal/mol/K]    [kcal/mol]    [kcal/mol]  [cal/(mol-K)]  [kcal/mol]     [kcal/mol]    
 -----------------------------------------------------------------------------------------------------
     300.0000      15.3586       -13.1841      -33.9315      69.1578       0.0307        -0.1382       
     600.0000      23.4847       -7.2987       -56.7557      82.4282       5.9160        -22.9624      
     800.0000      27.1622       -2.2100       -73.9881      89.7226       11.0048       -40.1948      
     1000.0000     30.0181       3.5080        -92.5826      96.0905       16.7227       -58.7893      
     1200.0000     32.0776       9.7238        -112.3777     101.7512      22.9386       -78.5844      
     1400.0000     33.7847       16.3155       -133.2443     106.8284      29.5303       -99.4510      
     1600.0000     35.1846       23.2172       -155.0777     111.4343      36.4320       -121.2844     
     1800.0000     36.3196       30.3717       -177.7918     115.6464      43.5865       -143.9986     
     2000.0000     37.2286       37.7300       -201.3138     119.5219      50.9447       -167.5206     
     2200.0000     37.9479       45.2505       -225.5811     123.1053      58.4653       -191.7879     
     2400.0000     38.5102       52.8987       -250.5389     126.4323      66.1134       -216.7456     
     2600.0000     38.9455       60.6461       -276.1389     129.5327      73.8609       -242.3457     
 -----------------------------------------------------------------------------------------------------


 ====================================================================================================
   THERMO TABLE FOR MOLECULE C2H4O2H
 ====================================================================================================
   Elemental Composition:
     C 2.0000
     H 5.0000
     O 2.0000
   Formation Enthalpy at 298K =          11.8367 kcal/mol
   Formation Free Gibbs Energy at 298K = -9.6906 kcal/mol
   Molecular Weight =                    61.0600 kg/kmol
 -----------------------------------------------------------------------------------------------------
   Temperature       Cp             H             G            S             DH            DG         
       [K]       [cal/mol/K]    [kcal/mol]    [kcal/mol]  [cal/(mol-K)]  [kcal/mol]     [kcal/mol]    
 -----------------------------------------------------------------------------------------------------
     300.0000      20.4668       11.8775       -9.8353       72.3759       0.0409        -0.1446       
     600.0000      30.0847       19.5522       -34.2802      89.7207       7.7155        -24.5896      
     800.0000      34.2163       26.0109       -53.1751      98.9826       14.1743       -43.4845      
     1000.0000     37.3289       33.1676       -73.7870      106.9546      21.3309       -64.0964      
     1200.0000     39.5250       40.8597       -95.8932      113.9607      29.0231       -86.2025      
     1400.0000     41.3416       48.9523       -119.3200     120.1945      37.1156       -109.6294     
     1600.0000     42.8279       57.3743       -143.9302     125.8153      45.5377       -134.2396     
     1800.0000     44.0295       66.0645       -169.6126     130.9317      54.2278       -159.9220     
     2000.0000     44.9890       74.9700       -196.2746     135.6223      63.1334       -186.5839     
     2200.0000     45.7451       84.0465       -223.8372     139.9471      72.2098       -214.1465     
     2400.0000     46.3337       93.2569       -252.2322     143.9538      81.4202       -242.5416     
     2600.0000     46.7869       102.5709      -281.4001     147.6812      90.7343       -271.7094     
 -----------------------------------------------------------------------------------------------------


 ====================================================================================================
   THERMO TABLE FOR MOLECULE C2H4O1-2
 ====================================================================================================
   Elemental Composition:
     C 2.0000
     H 4.0000
     O 1.0000
   Formation Enthalpy at 298K =          -12.5803 kcal/mol
   Formation Free Gibbs Energy at 298K = -29.8749 kcal/mol
   Molecular Weight =                    44.0530 kg/kmol
 -----------------------------------------------------------------------------------------------------
   Temperature       Cp             H             G            S             DH            DG         
